"blind_id","detection_status"
"blind_000892","found"
"blind_000893","found"
"blind_000894","found"
"blind_000895","found"
"blind_000896","found"
"blind_000897","found"
"blind_000898","missed"
"blind_000899","found"
"blind_000900","found"
"blind_000901","found"
"blind_000902","found"
"blind_000903","found"
"blind_000904","missed"
"blind_000905","found"
"blind_000906","found"
"blind_000907","found"
"blind_000908","found"
"blind_000909","missed"
"blind_000910","missed"
"blind_000911","missed"
"blind_000912","missed"
"blind_000913","missed"
"blind_000914","missed"
"blind_000915","missed"
"blind_000916","found"
"blind_000917","missed"
"blind_000918","missed"
"blind_000919","missed"
"blind_000920","missed"
"blind_000921","missed"
"blind_000922","missed"
"blind_000923","missed"
"blind_000924","missed"
"blind_000925","missed"
"blind_000926","missed"
"blind_000927","missed"
"blind_000928","missed"
"blind_000929","missed"
"blind_000930","missed"
"blind_000931","missed"
"blind_000932","missed"
"blind_000933","missed"
"blind_000934","missed"
"blind_000935","missed"
"blind_000936","missed"
"blind_000937","missed"
"blind_000938","missed"
"blind_000939","missed"
"blind_000940","missed"
"blind_000941","missed"
"blind_000942","missed"
"blind_000943","missed"
"blind_000944","missed"
"blind_000945","missed"
"blind_000946","missed"
"blind_000947","missed"
"blind_000948","found"
"blind_000949","missed"
"blind_000950","missed"
"blind_000951","missed"
"blind_000952","missed"
"blind_000953","missed"
"blind_000954","missed"
"blind_000955","missed"
"blind_000956","missed"
"blind_000957","missed"
"blind_000958","missed"
"blind_000959","missed"
"blind_000960","missed"
"blind_000961","missed"
"blind_000962","missed"
"blind_000963","missed"
"blind_000964","missed"
"blind_000965","found"
"blind_000966","missed"
"blind_000967","missed"
"blind_000968","missed"
"blind_000969","missed"
"blind_000970","missed"
"blind_000971","missed"
"blind_000972","missed"
"blind_000973","missed"
"blind_000974","missed"
"blind_000975","missed"
"blind_000976","missed"
"blind_000977","missed"
"blind_000978","missed"
"blind_000979","found"
"blind_000980","missed"
"blind_000981","missed"
"blind_000982","missed"
"blind_000983","missed"
"blind_000984","missed"
"blind_000985","missed"
"blind_000986","missed"
"blind_000987","missed"
"blind_000988","missed"
"blind_000989","found"
"blind_000990","missed"
"blind_000991","missed"
"blind_000992","missed"
"blind_000993","missed"
"blind_000994","missed"
"blind_000995","missed"
"blind_000996","missed"
"blind_000997","missed"
"blind_000998","missed"
"blind_000999","missed"
"blind_001000","missed"
"blind_001001","missed"
"blind_001002","missed"
"blind_001003","missed"
"blind_001004","missed"
"blind_001005","missed"
"blind_001006","missed"
"blind_001007","missed"
"blind_001008","missed"
"blind_001009","missed"
"blind_001010","missed"
"blind_001011","missed"
"blind_001012","missed"
"blind_001013","missed"
"blind_001014","missed"
"blind_001015","missed"
"blind_001016","missed"
"blind_001017","missed"
"blind_001018","missed"
"blind_001019","found"
"blind_001020","found"
"blind_001021","found"
"blind_001022","found"
"blind_001023","missed"
"blind_001024","missed"
"blind_001025","found"
"blind_001026","missed"
"blind_001027","missed"
"blind_001028","found"
"blind_001029","found"
"blind_001030","missed"
"blind_001031","found"
"blind_001032","missed"
"blind_001033","missed"
"blind_001034","missed"
"blind_001035","missed"
"blind_001036","missed"
"blind_001037","missed"
"blind_001038","missed"
"blind_001039","missed"
"blind_001040","found"
"blind_001041","missed"
"blind_001042","missed"
"blind_001043","missed"
"blind_001044","missed"
"blind_001045","missed"
"blind_001046","missed"
